kind,dataset,config,gamma,eta,acc_mean,acc_std,pure_mean,pure_std,weighted_mean,weighted_std,iter_mean,iter_std,delta_acc_vs_pure,delta_pure_vs_pure,delta_weighted_vs_pure
docs,classic.mat,"PURE (γ=1, η=1)",1.0,1.0,0.3032421764871723,0.0393718573853044,0.9995004645697179,0.0009466455906148396,0.9995004645697179,0.0009466455906148396,50.0,0.0,0.0,0.0,0.0
docs,classic.mat,"Only γ (γ=0.05, η=1)",0.05,1.0,0.3031575979701156,0.03848769144956075,1.5560956991427075,0.003648889992071292,1.5560956991427075,0.003648889992071292,50.0,0.0,-8.457851705667707e-05,0.5565952345729896,0.5565952345729896
docs,classic.mat,"Only inertia (γ=1, η=0.3)",1.0,0.3,0.32624753312658583,0.08454818082025839,0.9994027580687324,0.0011645157273138622,0.9994027580687324,0.0011645157273138622,50.0,0.0,0.023005356639413554,-9.770650098550604e-05,-9.770650098550604e-05
docs,classic.mat,"γ + inertia (γ=0.05, η=0.3)",0.05,0.3,0.3256272906681703,0.07787318139263888,4.500530512134039,1.8675087260194907,4.500530512134039,1.8675087260194907,50.0,0.0,0.022385114180998034,3.5010300475643206,3.5010300475643206
docs,hitech.mat,"PURE (γ=1, η=1)",1.0,1.0,0.27118644067796616,0.06751045595511795,0.992476973707974,0.002374854605799238,0.992476973707974,0.002374854605799238,50.0,0.0,0.0,0.0,0.0
docs,hitech.mat,"Only γ (γ=0.05, η=1)",0.05,1.0,0.24936983920034766,0.018139795471785517,2.711486560338859,0.019883472971542738,2.711486560338859,0.019883472971542738,50.0,0.0,-0.02181660147761849,1.719009586630885,1.719009586630885
docs,hitech.mat,"Only inertia (γ=1, η=0.3)",1.0,0.3,0.2503259452411995,0.01479215334647327,0.9932287584748215,0.0031349852002039665,0.9932287584748215,0.0031349852002039665,50.0,0.0,-0.020860495436766657,0.000751784766847452,0.000751784766847452
docs,hitech.mat,"γ + inertia (γ=0.05, η=0.3)",0.05,0.3,0.2501521077792264,0.019786185725518168,5.872902247468106,4.01626412908866,5.872902247468106,4.01626412908866,50.0,0.0,-0.021034332898739738,4.880425273760133,4.880425273760133
docs,k1b.mat,"PURE (γ=1, η=1)",1.0,1.0,0.5233333333333333,0.04188426634324972,0.9901756101034536,0.003252075976200324,0.9901756101034536,0.003252075976200324,50.0,0.0,0.0,0.0,0.0
docs,k1b.mat,"Only γ (γ=0.05, η=1)",0.05,1.0,0.35777777777777775,0.06737542379648104,2.5947675750675137,0.02036572418626165,2.5947675750675137,0.02036572418626165,50.0,0.0,-0.16555555555555557,1.60459196496406,1.60459196496406
docs,k1b.mat,"Only inertia (γ=1, η=0.3)",1.0,0.3,0.537948717948718,0.032605465351819164,0.9903573362163186,0.0031411094312369632,0.9903573362163186,0.0031411094312369632,50.0,0.0,0.014615384615384697,0.0001817261128650438,0.0001817261128650438
docs,k1b.mat,"γ + inertia (γ=0.05, η=0.3)",0.05,0.3,0.39888888888888896,0.1263778614663176,7.133177510744394,3.891605180269805,7.133177510744394,3.891605180269805,50.0,0.0,-0.12444444444444436,6.14300190064094,6.14300190064094
docs,la1.mat,"PURE (γ=1, η=1)",1.0,1.0,0.29469413233458175,0.02338679833659383,0.9731399040537619,0.014569064675929845,0.9731399040537619,0.014569064675929845,50.0,0.0,0.0,0.0,0.0
