dataset,m,n,r,MRSA_Fro,MRSA_KL,MRSA_L1
Moffet,159,2500,3,7.993389455870296,7.768152069476486,7.490780460896896
Samson,156,9025,3,16.678150855884667,2.750218307429074,1.7640593275833616
Jasper,198,10000,4,8.104397209989111,3.6377029323385415,7.686761010021089
