dataset,m,n,r,MRSA_Fro,MRSA_KL,MRSA_L1
Moffet,159,2500,3,7.99338945587031,7.768152069476486,7.492115254430691
Samson,156,9025,3,16.678150855884677,2.750218307429074,1.7564689170109016
Jasper,198,10000,4,8.104397209989115,3.6377029323384953,7.68661554154084
